[2026-04-17 03:00:45] [HIGH] PORT SCAN DETECTED | SRC: 1.1.1.1 | 16 ports scanned | Reason: Many ports in short time
[2026-04-17 03:03:46] [HIGH] DDoS ATTACK DETECTED | SRC: 10.36.74.218 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:03:48] [HIGH] DDoS ATTACK DETECTED | SRC: 13.89.178.27 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:15:59] [HIGH] DDoS ATTACK DETECTED | SRC: 10.36.74.218 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:16:14] [HIGH] DDoS ATTACK DETECTED | SRC: 20.189.173.1 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:28:44] [HIGH] DDoS ATTACK DETECTED | SRC: 13.107.137.11 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:28:44] [HIGH] DDoS ATTACK DETECTED | SRC: 10.36.74.218 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:29:36] [HIGH] PORT SCAN DETECTED | SRC: 1.1.1.1 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 03:29:42] [HIGH] DDoS ATTACK DETECTED | SRC: 52.106.5.16 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:29:43] [HIGH] PORT SCAN DETECTED | SRC: 1.1.1.1 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 03:29:44] [HIGH] DDoS ATTACK DETECTED | SRC: 51.132.193.105 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:29:44] [HIGH] DDoS ATTACK DETECTED | SRC: 104.208.16.95 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:30:00] [HIGH] DDoS ATTACK DETECTED | SRC: 104.208.16.90 | 21 packets | Reason: Too many packets in short time
[2026-04-17 03:30:05] [HIGH] PORT SCAN DETECTED | SRC: 1.1.1.1 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 03:30:13] [HIGH] PORT SCAN DETECTED | SRC: 8.8.8.8 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 03:38:11] [HIGH] PORT SCAN DETECTED | SRC: 1.1.1.1 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 03:39:20] [HIGH] PORT SCAN DETECTED | SRC: 1.1.1.1 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 03:39:21] [HIGH] PORT SCAN DETECTED | SRC: 8.8.8.8 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 03:39:28] [HIGH] PORT SCAN DETECTED | SRC: 1.1.1.1 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:22:52] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:22:52] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:22:54] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:22:54] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:22:56] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:23:13] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:24:02] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:24:10] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:24:51] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:05] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:08] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:09] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:11] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:14] [HIGH] PORT SCAN DETECTED | SRC: 51.132.193.105 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:14] [HIGH] PORT SCAN DETECTED | SRC: 51.132.193.105 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:14] [HIGH] DDoS ATTACK DETECTED | SRC: 10.153.202.218 | 101 packets | Reason: Too many packets in short time
[2026-04-17 08:25:14] [HIGH] PORT SCAN DETECTED | SRC: 51.132.193.105 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:14] [HIGH] PORT SCAN DETECTED | SRC: 51.132.193.105 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:14] [HIGH] PORT SCAN DETECTED | SRC: 51.132.193.105 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:14] [HIGH] DDoS ATTACK DETECTED | SRC: 51.132.193.105 | 101 packets | Reason: Too many packets in short time
[2026-04-17 08:25:52] [HIGH] PORT SCAN DETECTED | SRC: 10.153.202.103 | 6 ports scanned | Reason: Many ports in short time
[2026-04-17 08:25:58] [HIGH] PORT SCAN DETECTED | SRC: 13.107.5.93 | 6 ports scanned | Reason: Many ports in short time
